indicator_orig,indic_id,indicator_harmonized
" number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (SEEA)",IPBES_VA_4_73_122_69,"number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (seea)"
gross ecosystem product,IPBES_VA_4_89_124_70,gross ecosystem product
Gross domestic product,IPBES_VA_5_78_136_71,gross domestic product
 Human Development INDEX,IPBES_VA_5_78_136_72,human development index (hdi)
 Genuine Progress INDICATOR (GPI),IPBES_VA_5_78_136_73,genuine progress indicator
 Sustainable Economic Welfare (ISEW),IPBES_VA_5_78_136_74,sustainable economic welfare (isew)
 Sustainable Development INDEX (SDI),IPBES_VA_5_78_136_75,sustainable development index (sdi)
 Inclusive Wealth,IPBES_VA_5_78_136_76,inclusive wealth
Gross National Happiness INDEX of Bhutan,IPBES_VA_6_21_143_77,gross national happiness index of bhutan
 Genuine Progress INDICATOR,IPBES_VA_6_21_143_78,genuine progress indicator
green gross domestic product,IPBES_VA_6_22_145_79,green gross domestic product
"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",IPBES_VA_6_52_152_80,"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments"
gross domestic product,IPBES_VA_6_61_155_81,gross domestic product
nature risk INDEX,IPBES_VA_6_64_156_82,nature risk index
 climate risk index,IPBES_VA_6_64_156_83,climate risk index
Gross domestic product (GDP),IPBES_GA_1_19_6_1,gross domestic product
 human development INDEX,IPBES_GA_1_19_6_2,human development index (hdi)
 inclusive wealth,IPBES_GA_1_19_6_3,inclusive wealth
 gross national happiness index,IPBES_GA_1_19_6_4,gross national happiness index
Human development index (HDI),IPBES_GA_1_31_9_5,human development index (hdi)
Ecological footprint,IPBES_GA_1_52_19_6,ecological footprint
 Water footprint (Human appropriation of fresh water),IPBES_GA_1_52_19_7,water footprint
