Indicators harmonized,Sources,Elements,Subelements,Frequency of use,MEA/assess,Indicators original name,Elements_2,Subelements_2
trends in international bilateral and multilateral official development assistance,UNCCD,Governance,National/international cooperation,1,mea,Trends in international bilateral and multilateral official development assistance,,
trends in invasive alien species eradication at different scales,IPBES,Direct drivers,Invasive alien species,1,assessment,Trends in invasive alien species eradication at different scales,,
trends in invasive alien species relevant submissions to managers,IPBES,Direct drivers,Invasive alien species,1,assessment,Trends in invasive alien species relevant submissions to managers,,
trends in invasive alien species vertebrate eradications,IPBES,Governance,Nature-based legislation,1,assessment,Trends in invasive alien species vertebrate eradications,Direct drivers,Invasive alien species
trends in land cover,UNCCD,ecosystems,Change in ecosystems,1,mea,Trends in land cover,,
trends in land productivity or functioning of the land,UNCCD,ecosystems,Change in ecosystems,1,mea,Trends in land productivity or functioning of the land,ecosystems,State of ecosystems (integrity)
trends in loss of reactive nitrogen to the environment,GBF,Direct drivers,Pollution,1,mea,Trends in Loss of Reactive Nitrogen to the Environment.,,
trends in mangrove extent,GBF,ecosystems,Change in ecosystems,1,mea,"Trends in mangrove extent
",,State of ecosystems (coverage)
trends in mangrove forest fragmentation,GBF,ecosystems,Change in ecosystems,1,mea,"Trends in mangrove forest fragmentation
",,State of ecosystems (configuration)
trends in nitrogen deposition,GBF;IPBES,Direct drivers,Pollution,2,both,Trends in Nitrogen Deposition; Trends in nitrogen deposition,,
trends in number of co-financing partners,UNCCD,Governance,Nature-based funding,1,mea,Trends in number of co-financing partners,,
"trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",GBF,Governance,Broken governance,1,mea,"Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",,
trends in numbers and spatial distribution of invasive alien species and their impacts,IPBES,Direct drivers,Invasive alien species,1,assessment,Trends in numbers and spatial distribution of invasive alien species and their impacts,,
trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species,IPBES,Direct drivers,Invasive alien species,1,assessment,trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species; Trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species,Governance,Nature-based legislation
trends in numbers of facilities in the region,IPBES,Knowledge systems,Information on society and socio-economics,1,assessment,Trends in numbers of facilities in the region,Human well-being,Healthy living conditions
trends in numbers of invasive alien species and their impacts,IPBES,Direct drivers,Invasive alien species,1,assessment,trends in numbers of invasive alien species and their impacts,,
trends in official funding for actions which support implementation of the strategic plan for migratory species,CMS,Governance,Nature-based funding,1,mea,Trends in official funding for actions which support implementation of the Strategic Plan for Migratory Species,,
trends in pathways of introduction and spread,IPBES,Direct drivers,Invasive alien species,1,assessment,trends in pathways of introduction and spread; Trends in pathways of introduction and spread,Governance,Nature-based legislation
trends in pesticide use,IPBES,Direct drivers,Pollution,1,assessment,Trends in pesticide use,,
trends in population living below the relative poverty line and/or income inequality in affected areas,UNCCD,Human well-being,Healthy living conditions,1,mea,Trends in population living below the relative poverty line and/or income inequality in affected areas,Human assets,Coverage of basic needs
trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),GBF,Governance,Nature detrimental legislation,1,mea,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),,
trends in potentially harmful elements of government support to agriculture (produced support estimates),IPBES,Governance,Nature detrimental legislation,1,assessment,Trends in potentially harmful elements of government support to agriculture (produced support estimates),,
trends in potentially harmful elements of government support to fisheries,IPBES,Governance,Nature detrimental legislation,1,assessment,Trends in potentially harmful elements of government support to fisheries,,
trends in publication of papers on migratory species conservation in peer-reviewed literature,CMS,Knowledge systems,Information on society and socio-economics,1,mea,Trends in publication of papers on migratory species conservation in peer-reviewed literature,Knowledge systems,Information on biodiversity
trends in range-related coverage of migratory species agreements and other concerted actions between states,CMS,Governance,Nature-based legislation,1,mea,Trends in range-related coverage of migratory species agreements and other concerted actions between States,biodiversity,Species conservation
trends in species at risk of localized extinction in a protected area,IPBES,biodiversity,State of biodiversity,1,assessment,Trends in species at risk of localized extinction in a protected area,,
trends in successful control and eradications of invasive alien species,IPBES,Direct drivers,Invasive alien species,1,assessment,trends in successful control and eradications of invasive alien species,Governance,Nature-based legislation
trends in successful eradications of invasive alien species,IPBES,Direct drivers,Invasive alien species,1,assessment,Trends in successful eradications of invasive alien species,,
trends in the allocation of resources towards the prevention or control of invasive alien species,IPBES,Direct drivers,Invasive alien species,1,assessment,trends in the allocation of resources towards the prevention or control of invasive alien species; Trends in the allocation of resources towards the prevention or control of invasive alien species,Governance,Nature-based funding
trends in the amount of litter in the water column including microplastics and on the seafloor,GBF,Direct drivers,Pollution,1,mea,Trends in the amount of litter in the water column including microplastics and on the seafloor,,
"trends in the degree to which traditional knowledge and practices are respected through full integration, participation and safeguards in national implementation of the strategic plan for migratory species",CMS,Knowledge systems,Specific information on ILK and IPLC,1,mea,"Trends in the degree to which traditional knowledge and practices are respected through full integration, participation and safeguards in national implementation of the Strategic Plan for Migratory Species",,
trends in the legal trade of medicinal plants,GBF,Human assets,Income,1,mea,Trends in the legal trade of medicinal plants,Ecosystem services,Nature contribution
trends in the number and value of government fossil-fuel support measures,GBF,Governance,Nature detrimental legislation,1,mea,Trends in the number and value of government fossil fuel support measures,,
trends in the numbers of invasive alien species introduction events,IPBES,Direct drivers,Invasive alien species,1,assessment,Trends in the numbers of invasive alien species introduction events,,
trends in the prevention and eradication and control of invasive alien species,IPBES,Direct drivers,Invasive alien species,1,assessment,Trends in the prevention and eradication and control of invasive alien species,Governance,Legislation/governance
trends in the prevention of invasive alien species,IPBES,Direct drivers,Invasive alien species,1,assessment,trends in the prevention of invasive alien species,Governance,Nature-based legislation
trends in threats to migratory species,CMS,biodiversity,State of biodiversity,1,mea,Trends in threats to migratory species (overall); Trends in threats to migratory species (sub-indicators on specific threat types),Knowledge systems,Information on biodiversity
trends of bilinguistic diversity and numbers of speakers of indigenous languages,GBF,Knowledge systems,Specific information on ILK and IPLC,1,mea,Trends of Bilinguistic diversity and numbers of speakers of indigenous languages,Human well-being,Cultural diversity
