indicator_harmonized,indic_ids,source,Categories,Categories_2,Subcategories,Subcategories_2,policy,mea,assess
funding towards institutional capacity building in fisheries,IPBES_GA_3_15_329_413;IPBES_GA3_sup_8,IPBES,Governance,NA,Nature-based funding,NA,0,FALSE,TRUE
funding towards nature reserves,IPBES_GA3_sup_48,IPBES,Governance,NA,Nature-based funding,NA,0,FALSE,TRUE
funding towards species protection,IPBES_GA3_sup_51,IPBES,Governance,NA,Nature-based funding,NA,0,FALSE,TRUE
further sub-indicators on additional/more specific threat types,CMS_G2.7_11,CMS,biodiversity,NA,Change in biodiversity,NA,1,TRUE,FALSE
gender-disaggregated agricultural indices,GEO_3_10_20_28,GEO,Human well-being,NA,Equity,NA,0,FALSE,TRUE
gene bank accession and available genetic resources,IPBES_GA_2.3_42_143_338,IPBES,biodiversity,NA,Genetic resources,NA,0,FALSE,TRUE
genesis potential index,IPCC_11_78_568_323,IPCC,Direct drivers,NA,Natural drivers,NA,0,FALSE,TRUE
genetic diversity,IPBES_VA_2_10_12_5;IPBES_VA_2_38_28_13,IPBES,biodiversity,NA,Genetic diversity,NA,0,FALSE,TRUE
genetic scorecard for wild species,GBF_GA_CY_42,GBF,biodiversity,NA,Genetic resources,NA,1,TRUE,FALSE
genuine progress indicator,IPBES_GA_6_139_289_403;IPBES_VA_2_8_10_3;IPBES_VA_2_38_29_25;IPBES_VA_5_78_136_73;IPBES_VA_6_21_143_78;IPBES_IAS_6_85_153_70,IPBES,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
geographical overlay of linguistic diversity and biodiversity,IPBES_GA_2.3_39_137_272,IPBES,Knowledge systems,Knowledge systems,Specific information on ILK and IPLC,Information on biodiversity,0,FALSE,TRUE
ghg changes,IPCC_3_17_173_141,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
ghg emissions,GEO_5_17_41_50;GEO_12_18_122_111;IPBES_GA2.1_sup_41;IPBES_GA2.1_sup_46,IPBES,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
ghg emissions,GEO_5_17_41_50;GEO_12_18_122_111;IPBES_GA2.1_sup_41;IPBES_GA2.1_sup_46,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
ghg emissions from agriculture,GEO_17_9_201_174,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
ghs effective radiative forcing,IPCC_7_44_330_216,IPCC,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
gini index,IPBES_GA_5_80_256_393,IPBES,Human well-being,NA,Equity,NA,0,FALSE,TRUE
glacier areal and mass changes/loss rate,IPCC_2_60_95_97,IPCC,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
glacier mass and extent,IPCC_2_26_47_61,IPCC,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
glacier mass balance,IPBES_GA_3_51_381_460;GEO_2_26_7_2;IPBES_GA3_sup_37,IPBES,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
glacier mass balance,IPBES_GA_3_51_381_460;GEO_2_26_7_2;IPBES_GA3_sup_37,GEO,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
glacier mass loss,IPCC_1_13_4_4;IPCC_9_65_447_264,IPCC,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
global annual mean tropospheric ozone burden,IPCC_6_22_300_204,IPCC,Direct drivers,ecosystems,Climate change,Abiotic conditions,0,FALSE,TRUE
global atmospheric co levels,GEO_7_7_63_84,GEO,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
global bird richness (csar),IPBES_GA2.2_sup_56,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
global capacity,GEO_13_14_129_116,GEO,Ecosystem services,Knowledge systems,Specific mention of sustainable use of species/ecosystems,Specific information on human-nature relationship,0,FALSE,TRUE
global carbon budget,IPCC_5_70_289_202,IPCC,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
global climate risk index,IPBES_GA_1_52_19_46,IPBES,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
global coral reef extent,GBF_GA_CY_13,GBF,biodiversity,NA,State of biodiversity,NA,1,TRUE,FALSE
global cover of mangroves,IPBES_GA_2.2_91_124_249,IPBES,ecosystems,NA,State of ecosystems (coverage),NA,0,FALSE,TRUE
global dust deposition,IPCC_6_16_296_203,IPCC,Direct drivers,Direct drivers,Climate change,Pollution,0,FALSE,TRUE
global ecosystem restoration index,GBF_T2_CY_120;IPBES_GA_1_52_19_76,GBF,ecosystems,NA,Area conservation,NA,1,TRUE,FALSE
global ecosystem restoration index,GBF_T2_CY_120;IPBES_GA_1_52_19_76,IPBES,ecosystems,NA,Area conservation,NA,1,FALSE,TRUE
global effort in bottom-trawling,IPBES_GA_1_52_19_48;IPBES_GA_4_152_225_378;IPBES_GA_3_15_329_426;IPBES_GA3_sup_24,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
global energy budget,IPCC_1_38_17_12;IPCC_7_77_351_222,IPCC,Governance,NA,Legislation/governance,NA,0,FALSE,TRUE
global environmental impacts of consumption,GBF_T16_C_60,GBF,Direct drivers,NA,Land conversion,NA,1,TRUE,FALSE
global forest-specialist bird richness (csar),IPBES_GA2.2_sup_57,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
"global funding committed towards environmental policy, laws, regulations and economic instruments",IPBES_GA3_sup_68,IPBES,Governance,NA,Legislation/governance,NA,0,FALSE,TRUE
global funding for resourcing of biological invasions policy and management implementation,IPBES_IAS_6_17_143_54,IPBES,Governance,Direct drivers,Nature-based funding,Invasive alien species,0,FALSE,TRUE
global greening/browning,IPCC_2_26_47_73,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
global human settlement layer (ghsl),GEO_3_14_30_35,GEO,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,GBF_GD_CY_103,GBF,Knowledge systems,Human assets,Information on society and socio-economics,State of economy,1,TRUE,FALSE
global index on indigenous peoples' well-being,IPBES_VA_3_63_79_54,IPBES,Knowledge systems,NA,Specific information on ILK and IPLC,NA,0,FALSE,TRUE
global land precipitation,IPCC_4_7_219_168,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
global linguistic diversity index and language threat level,IPBES_GA_1_52_19_78,IPBES,Knowledge systems,NA,Specific information on ILK and IPLC,NA,0,FALSE,TRUE
global mammal and bird species remaining,IPBES_GA_2.2_37_70_194;IPBES_GA2.2_sup_58,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
global mean ocean surface ph,IPCC_4_8_220_171,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
global mean sea level (gmsl),IPCC_1_16_6_10;IPCC_9_96_465_269,IPCC,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
global mean surface temperature (gmst),IPCC_1_13_4_5;IPCC_1_16_6_9;IPCC_1_45_19_16;IPCC_1_47_20_18;IPCC_2_8_35_41;IPCC_7_82_356_223;IPCC_7_91_360_229;GEO_2_26_7_6,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
global mean surface temperature (gmst),IPCC_1_13_4_5;IPCC_1_16_6_9;IPCC_1_45_19_16;IPCC_1_47_20_18;IPCC_2_8_35_41;IPCC_7_82_356_223;IPCC_7_91_360_229;GEO_2_26_7_6,GEO,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
global monsoons,IPCC_2_26_47_55,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
global precipitation climatology centre (gpcc) v8,IPCC_1_13_4_3,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
global saltmarsh extent,GBF_GA_CY_15,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
global scale ecosystem carbon storage,IPBES_GA_4_87_186_372,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
global seagrass extent (seagrass cover and composition),GBF_GA_CY_14,GBF,biodiversity,NA,State of biodiversity,NA,1,TRUE,FALSE
global surface air temperature (gsat),IPCC_4_7_219_167;IPCC_9_11_426_255,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
global temperature,IPCC_1_58_23_22,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
global temperature increase,GEO_4_20_39_46,GEO,Direct drivers,Direct drivers,Climate change,Natural drivers,0,FALSE,TRUE
global temperature potential,GEO_12_18_124_113,GEO,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
global temperatures,IPCC_1_92_33_40,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
global vegetation cover,IPCC_2_43_71_83,IPCC,ecosystems,NA,State of ecosystems (coverage),NA,0,FALSE,TRUE
global vegetation health products,GBF_GA_CY_26,GBF,Ecosystem services,NA,Nature contribution,NA,1,TRUE,FALSE
global warming potential index,GEO_12_18_122_112,GEO,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
globalization index,IPBES_GA_2_24_29_91;IPBES_GA2.1_sup_2,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
governance index,IPBES_SUA_6_77_200_72,IPBES,Governance,NA,Legislation/governance,NA,0,FALSE,TRUE
grassland and savannah extent,GBF_GA_CY_4,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
green consumption,IPBES_GA_3_26_355_437,IPBES,Ecosystem services,Human well-being,Nature contribution,Healthy living conditions,0,FALSE,TRUE
green gross domestic product,IPBES_VA_6_22_145_79,IPBES,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,0,FALSE,TRUE
green status of species index,GBF_T4_C_28,GBF,biodiversity,NA,State of biodiversity,NA,1,TRUE,FALSE
green status of species index (pollinators),GBF_GB_CY_60,GBF,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,TRUE,FALSE
greenhouse gas emissions,IPBES_GA_2_83_42_112;GEO_4_20_39_45,IPBES,Direct drivers,Direct drivers,Climate change,Pollution,0,FALSE,TRUE
greenhouse gas emissions,IPBES_GA_2_83_42_112;GEO_4_20_39_45,GEO,Direct drivers,Direct drivers,Climate change,Pollution,0,FALSE,TRUE
greenhouse gas index (national oceanic and atmospheric administration),GEO_2_23_6_1,GEO,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
greenland blocking index,IPCC_9_47_438_260,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
greenland ice sheet fluctuations,IPCC_2_60_96_98,IPCC,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
gross domestic product,IPBES_GA_1_19_6_1;IPBES_GA_2_20_26_82;IPBES_GA_2_24_29_90;IPBES_GA_6_139_289_404;IPBES_SUA_1_11_4_2;IPBES_SUA_4_149_137_65;IPBES_VA_2_10_12_7;IPBES_VA_2_38_29_23;IPBES_VA_5_78_136_71;IPBES_VA_6_61_155_81;IPBES_IAS_2_5_11_4;IPBES_IAS_3_8_84_19;IPBES_IAS_3_34_90_24;IPBES_IAS_6_85_153_68;IPBES_GA2.1_sup_1;IPBES_GA2.1_sup_29,IPBES,Human assets,NA,State of economy,NA,0,FALSE,TRUE
gross ecosystem product,IPBES_VA_4_89_124_70,IPBES,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,0,FALSE,TRUE
gross national happiness index,IPBES_GA_1_19_6_4;IPBES_GA_5_69_253_391;IPBES_GA_6_140_290_405;IPBES_SUA_1_12_5_5;IPBES_VA_2_29_20_11;IPBES_IAS_6_85_153_72,IPBES,Human well-being,NA,Wellness,NA,0,FALSE,TRUE
gross national happiness index of bhutan,IPBES_VA_6_21_143_77,IPBES,Human well-being,NA,Wellness,NA,0,FALSE,TRUE
gross national product,IPBES_IAS_6_85_153_69,IPBES,Human assets,NA,State of economy,NA,0,FALSE,TRUE
ground subsidence,IPCC_2_63_102_105,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
grounding line retreat,IPCC_9_55_443_262,IPCC,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
growing degree days,IPCC_12_46_648_390,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",IPCC_sup_16,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
growing season of terrestrial biota,IPCC_2_26_47_74,IPCC,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
growth in human appropriation of net primary productivity,IPBES_GA_3_26_355_433,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
growth in information relevant to informing policy on invasive alien species prevention and control,IPBES_IAS_6_11_138_49;IPBES_IAS_6_119_174_87,IPBES,Direct drivers,Knowledge systems,Invasive alien species,Information on biodiversity,0,FALSE,TRUE
growth in marine species occurrence records accessible through ocean biodiversity information system (obis),GBF_T21_CY_250,GBF,Knowledge systems,NA,Information on biodiversity,NA,1,TRUE,FALSE
growth in number of records and species in the living planet index database,GBF_T21_CY_248,GBF,Knowledge systems,NA,Information on biodiversity,NA,1,TRUE,FALSE
growth rates of household expenditure or income per capita among the bottom 40 percent of the population and the total population,SDG_G10.1.1_129;IPBES_SUA_sup_10.1.1_70,SDG,Human assets,NA,Income,NA,1,TRUE,FALSE
growth rates of household expenditure or income per capita among the bottom 40 percent of the population and the total population,SDG_G10.1.1_129;IPBES_SUA_sup_10.1.1_70,IPBES,Human assets,NA,Income,NA,1,FALSE,TRUE
habitat area and quality,IPBES_GA_4_34_176_367,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
habitat conditions,IPBES_SUA_4_89_132_63,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
habitat distributional range,GBF_T2_CY_115,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
habitat loss,GEO_6_8_49_68,GEO,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
habitat patches located within marine protected areas or integrated coastal zone management (iczm),GBF_T1_CY_107,GBF,ecosystems,NA,Area conservation,NA,1,TRUE,FALSE
habitat quality,IPBES_SUA_2_95_77_18,IPBES,Knowledge systems,ecosystems,ILK,State of ecosystems,0,FALSE,TRUE
hadley circulation cell,IPCC_3_37_179_145,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
hadley/walker circulation,IPCC_2_26_47_54,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
hallow coral reefs,IPBES_GA_2.2_91_124_250,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
happiness,IPBES_VA_3_41_70_50,IPBES,Human well-being,NA,Wellness,NA,0,FALSE,TRUE
happy planet index,IPBES_GA_5_69_253_390;IPBES_GA_5_108_263_397,IPBES,Human well-being,NA,Wellness,NA,0,FALSE,TRUE
hard coral cover and composition,GBF_GA_CY_12,GBF,biodiversity,NA,State of biodiversity,NA,1,TRUE,FALSE
harvest intensity,IPBES_SUA_2_95_77_19,IPBES,Knowledge systems,Ecosystem services,ILK,Nature contribution,0,FALSE,TRUE
hazardous waste,GBF_T7_CY_173;SDG_G12.4.2.a_166;IPBES_SUA_sup_12.4.2.a_93,GBF,Direct drivers,NA,Pollution,NA,1,TRUE,FALSE
hazardous waste,GBF_T7_CY_173;SDG_G12.4.2.a_166;IPBES_SUA_sup_12.4.2.a_93,SDG,Direct drivers,NA,Pollution,NA,1,TRUE,FALSE
hazardous waste,GBF_T7_CY_173;SDG_G12.4.2.a_166;IPBES_SUA_sup_12.4.2.a_93,IPBES,Direct drivers,NA,Pollution,NA,1,FALSE,TRUE
health associated with intake of pollinator dependent foods,IPBES_GA_2.3_42_143_294,IPBES,Human well-being,Direct drivers,Healthy living conditions,Pollution,0,FALSE,TRUE
health condition and body size of wild animals decrease,IPBES_GA_2.2_5_55_136,IPBES,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
health of the forest,IPBES_GA_2.3_41_142_282,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
health of the soil,IPBES_GA_2.3_40_140_280,IPBES,Knowledge systems,ecosystems,ILK,Abiotic conditions,0,FALSE,TRUE
health worker density and distribution,SDG_G3.c.1_53,SDG,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,1,TRUE,FALSE
heat index (hi),IPCC_12_7_581_329;IPCC_12_27_618_383;IPCC_12_49_649_394;IPCC_12_85_724_417,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
heat stress (humidity and temperature),IPCC_12_15_596_335,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
heat stress index,IPCC_12_54_663_396,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
heating degree day index,IPCC_12_56_664_398,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
heating degree days below 15.5°c,IPCC_sup_45,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
"hepatitis b incidence per 100,000 population",SDG_G3.3.4_35,SDG,Human assets,NA,Coverage of basic needs,NA,1,TRUE,FALSE
"high blood pressure, smoking, low birth weight, high levels of blood sugar",GEO_5_19_45_58,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
high body mass index,GEO_5_19_45_59,GEO,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
highest five day precipitation amount (rx5day),IPCC_11_52_540_289,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
highest one day precipitation amount (rx1day),IPCC_11_52_540_290,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
historic land use change since 1970,IPBES_GA_2.3_53_152_353,IPBES,Direct drivers,NA,Land conversion,NA,0,FALSE,TRUE
holistic health model,IPBES_VA_3_63_79_55,IPBES,Human well-being,NA,Wellness,NA,0,FALSE,TRUE
human appropriation of fresh water,IPBES_GA_3_15_329_418;IPBES_GA3_sup_14,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
human appropriation of net primary productivity,GBF_T14_CY_211;IPBES_GA_1_52_19_44;IPBES_VA_2_38_29_30;IPBES_GA3_sup_13,GBF,Ecosystem services,NA,Nature contribution,NA,1,TRUE,FALSE
human appropriation of net primary productivity,GBF_T14_CY_211;IPBES_GA_1_52_19_44;IPBES_VA_2_38_29_30;IPBES_GA3_sup_13,IPBES,Ecosystem services,NA,Nature contribution,NA,1,FALSE,TRUE
human development index (hdi),IPBES_GA_1_19_6_2;IPBES_GA_1_31_9_5;IPBES_GA_2_24_29_88;IPBES_GA_2_22_30_99;IPBES_GA_5_68_252_389;IPBES_GA_3_77_402_489;IPBES_GA_3_97_413_490;IPBES_SUA_1_12_5_3;IPBES_VA_5_78_136_72;IPBES_IAS_2_18_24_16,IPBES,Knowledge systems,Human well-being,Information on society and socio-economics,Wellness,0,FALSE,TRUE
human footprint,IPBES_GA_2.2_62_105_231,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
human population density,IPBES_IAS_3_8_84_20,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
human population size,IPBES_IAS_2_5_11_3,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
humidity,IPCC_12_62_673_404,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
hunting success,IPBES_SUA_2_97_80_39,IPBES,Knowledge systems,Ecosystem services,ILK,Nature contribution,0,FALSE,TRUE
hydrological deficits,IPCC_11_58_544_309,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
ice core measurements,IPCC_5_14_270_195,IPCC,ecosystems,Direct drivers,State of ecosystems,Climate change,0,FALSE,TRUE
ice core records,IPCC_2_58_90_95,IPCC,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
ice cores,IPCC_2_63_105_109,IPCC,ecosystems,Direct drivers,State of ecosystems,Climate change,0,FALSE,TRUE
ideas and products mimicking or inspired by nature,IPBES_GA_2.3_42_143_340,IPBES,Knowledge systems,NA,Specific information on human-nature relationship,NA,0,FALSE,TRUE
identity value - rural and iplc,IPBES_GA_2.3_42_143_350,IPBES,Human well-being,NA,Wellness,NA,0,FALSE,TRUE
identity value - urban,IPBES_GA_2.3_42_143_349,IPBES,Human well-being,NA,Wellness,NA,0,FALSE,TRUE
illegal trade by cites species classification,GBF_T5_CY_161,GBF,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,TRUE,FALSE
impact of agricultural habitat conversion on birds,IPBES_SUA_4_42_113_45,IPBES,Direct drivers,NA,Land conversion,NA,0,FALSE,TRUE
"impact of alien species on sensitive places, species and functions",IPBES_IAS_6_97_160_74,IPBES,Direct drivers,NA,Invasive alien species,NA,0,FALSE,TRUE
impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,GEO_15_19_169_142,GEO,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF_T5_CY_164,GBF,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,SDG_G12.b.1_173;IPBES_SUA_sup_12.b.1_100,SDG,Governance,NA,Legislation/governance,NA,1,TRUE,FALSE
