error,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2
,land and ocean carbon sinks,GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,land cover change,GEO_6_18_58,GEO,0,Direct drivers,Land conversion,NA,NA
,land monsoon precipitation index,IPCC_4_34_236;IPCC_4_51_250,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,land not cultivated or urban,GA_2.2_37_70;IPBES_GA2.2_sup_11,IPBES,0,ecosystems,State of ecosystems,Human assets,Infrastructure (build-up area)
,land not cultivated or urban (hotspots),GA_2.2_37_70;IPBES_GA2.2_sup_12,IPBES,0,ecosystems,State of ecosystems,Human assets,Infrastructure (build-up area)
,land not cultivated or urban (indigenous lands),GA_2.2_37_70;IPBES_GA2.2_sup_13,IPBES,0,ecosystems,State of ecosystems,Human assets,Infrastructure (build-up area)
,land rainfall over mc,IPCC_8_46_393,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],GBF_T22_CY_262,GBF,1,ecosystems,State of ecosystems,Knowledge systems,ILK
,land under cereal production (ha),GA_1_52_19,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,land use change,GA_2_83_42;GEO_6_8_49,IPBES;GEO,0,Direct drivers,Land conversion,NA,NA
,land-use and management,IPCC_3_64_190,IPCC,0,Ecosystem services,Nature contribution,ecosystems,Area conservation
,land-use change,GEO_21_10_246,GEO,0,Direct drivers,Land conversion,NA,NA
,land-use co2 emissions,IPCC_4_79_266,IPCC,0,Direct drivers,Climate change,NA,NA
,land-use models for efficient farming,GEO_17_8_200,GEO,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,land-use related non-co2 emissions,IPCC_4_79_266,IPCC,0,Direct drivers,Climate change,NA,NA
,laws allowing building in vulnerable areas,GEO_17_8_200,GEO,0,Governance,Nature detrimental legislation,NA,NA
,laws preventing recycling of water,GEO_17_8_200,GEO,0,Governance,Nature detrimental legislation,Knowledge systems,Specific information on human-nature relationship
,leaf area index (lai),GA_2.2_37_70;GA_2.2_40_79;IPCC_1_66_27;IPCC_2_79_128;IPCC_3_64_190;IPCC_3_65_191;IPCC_8_30_372;IPCC_8_65_401;IPCC_9_76_452;IPCC_10_31_483;IPBES_GA2.2_sup_14,IPBES;IPCC,0,biodiversity,State of biodiversity,NA,NA
,leaf surface area,GA_2.3_56_155,IPBES,0,biodiversity,State of biodiversity,NA,NA
,"less biomass, more annuals and shrubs on pastures",GA_2.2_65_113,IPBES,0,ecosystems,Change in ecosystems,NA,NA
,level of erosion,GBF_GB_CY_71,GBF,1,ecosystems,State of ecosystems,Direct drivers,Natural drivers
,"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status",SDG_G8.8.2_110;IPBES_SUA_sup_8.8.2_54,SDG;IPBES,1,Human well-being,Equity,NA,NA
,level of water stress,GBF_T11_C_53;GEO_16_18_193,GBF;GEO,1,ecosystems,State of ecosystems,Human well-being,Healthy living conditions
,level of water stress (freshwater withdrawal as a proportion of available freshwater resources),GBF_GB_CY_66;SDG_G6.4.2_88;GEO_16_18_192;IPBES_SUA_sup_6.4.2_33,GBF;SDG;IPBES;GEO,1,ecosystems,Change in ecosystems,biodiversity,NA
,levels of education,GEO_22_21_257,GEO,0,Human assets,Coverage of basic needs,NA,NA
,levels of engagement in world migratory bird day and similar events,CMS_G1.1_1,CMS,1,Knowledge systems,Specific information on human-nature relationship,NA,NA
,levels of poverty in biodiversity depended communities,GBF_GB_CY_55,GBF,1,Human assets,Income,NA,State of economy
,levels of poverty in developing communities,GBF_T16_CY_219,GBF,1,Human assets,Income,NA,State of economy
,life cycle impact assessment (lcia),GBF_T16_CY_218,GBF,1,Knowledge systems,Information on society and socio-economics,NA,NA
,life expectancy,GA_2_25_31;GEO_3_5_16,IPBES;GEO,0,Human well-being,Healthy living conditions,Knowledge systems,Information on society and socio-economics
,life satisfaction,VA_3_41_70,IPBES,0,Human well-being,Wellness,NA,NA
,lightning frequency,IPCC_12_18_602,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,linguistic diversity index,GBF_GB_CY_83;GA_2_25_33,GBF;IPBES,1,Knowledge systems,Specific information on ILK and IPLC,Human well-being,Cultural diversity
,live coral cover,GBF_GA_CY_11;GA_2.2_37_70;GA_2.2_38_74;GA_2.2_91_124;IPBES_GA2.2_sup_17;IPBES_GA3_sup_36,GBF;IPBES,1,biodiversity,State of biodiversity,NA,NA
,livelihood dependence,VA_3_2_52,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,livestock density of animals (chickens),IPBES_GA2.1_sup_33,IPBES,0,biodiversity,State of biodiversity,Ecosystem services,Specific monetary valuation of nature contribution
,livestock density of cattle,IPBES_GA2.1_sup_32,IPBES,0,biodiversity,State of biodiversity,NA,Specific monetary valuation of nature contribution
,livestock indigenous animals,IPBES_GA2.1_sup_31,IPBES,0,biodiversity,State of biodiversity,NA,Specific monetary valuation of nature contribution
,living conditions in the arctic,VA_3_63_79,IPBES,0,Human well-being,Healthy living conditions,NA,NA
x,living planet index,GBF_GA_C_8;GBF_T4_C_25;GBF_T2_CY_129;GA_1_52_19;GA_4_144_217;GA_5_10_235;GA_5_34_243;GA_3_41_369;SUA_4_256_160;GEO_6_16_52;GEO_6_16_54;IPBES_GA2.2_sup_72;IPBES_GA3_sup_49,GBF;IPBES;GEO,1,biodiversity,State of biodiversity,NA,NA
x,living planet index (freshwater),IPBES_GA2.2_sup_70,IPBES,0,biodiversity,State of biodiversity,NA,NA
x,living planet index (marine),IPBES_GA2.2_sup_71,IPBES,0,biodiversity,State of biodiversity,NA,NA
,living planet index (migratory fish),GEO_9_18_79,GEO,0,biodiversity,State of biodiversity,NA,NA
,living planet index (migratory species),CMS_G3.8_13,CMS,1,biodiversity,State of biodiversity,NA,NA
x,living planet index (terrestrial),IPBES_GA2.2_sup_73,IPBES,0,biodiversity,State of biodiversity,NA,NA
x,living planet index (used species),GBF_GB_C_11;GBF_T5_C_31;GBF_T9_C_46,GBF,1,biodiversity,State of biodiversity,Ecosystem services,Nature contribution
,local species richness,GA_2.2_37_70;GA_2.2_70_120;IAS_4_22_102,IPBES,0,biodiversity,State of biodiversity,NA,NA
,local species richness (biotime),IPBES_GA2.2_sup_40,IPBES,0,biodiversity,State of biodiversity,NA,NA
,local species richness (predicts),GBF_GA_CY_43;GA_2.2_45_85;IPBES_GA2.2_sup_41,GBF;IPBES,1,biodiversity,State of biodiversity,NA,NA
,local wind circulations,IPCC_12_18_602,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,loss of lichen diversity,SUA_4_47_115,IPBES,0,biodiversity,Change in biodiversity,NA,NA
,loss of mass of mountain glaciers and polar ice sheets,GEO_4_13_34,GEO,0,ecosystems,Change in ecosystems,NA,NA
,loss of older ice,IPCC_2_56_85,IPCC,0,ecosystems,Change in ecosystems,NA,NA
,loss of phylogenetic diversity,GBF_GA_CY_52;GBF_GB_CY_58,GBF,1,biodiversity,Genetic diversity,NA,NA
,low income,GEO_22_21_257,GEO,0,Human assets,Income,NA,NA
,low-elevation coastal zones,GEO_17_8_200,GEO,0,ecosystems,State of ecosystems,NA,NA
,low-flows days,IPCC_12_17_601,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,macroalgal canopy cover and composition,GBF_GA_CY_17,GBF,1,biodiversity,State of biodiversity,NA,NA
,macroeconomic dashboard,SDG_G17.13.1_250,SDG,1,Human assets,State of economy,NA,NA
,macroinvertebrate-based indices,IAS_5_130_134,IPBES,0,biodiversity,State of biodiversity,NA,NA
,magnitude of shoreline retreat by a pre-determined planning horizon such as 50 or 100 years into the future,IPCC_12_20_606,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems
,maintenance and restoration of connectivity of natural ecosystems,GBF_T2_C_16,GBF,1,ecosystems,Restoration efforts,NA,NA
,maize price,GEO_8_26_75,GEO,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA
,"malaria incidence per 1,000 population",SDG_G3.3.3_34,SDG,1,Human assets,Coverage of basic needs,Direct drivers,(Infectious) diseases
,malnutrition,GEO_3_12_24,GEO,0,Human assets,Coverage of basic needs,Human well-being,Healthy living conditions
,mammalian body mass,IPBES_GA2.2_sup_79,IPBES,0,biodiversity,State of biodiversity,NA,NA
,mammalian range size,GA_2.2_37_70;IPBES_GA2.2_sup_66,IPBES,0,biodiversity,State of biodiversity,NA,NA
,management effectiveness of areas protected specifically for migratory species,CMS_G3.10_19,CMS,1,ecosystems,Area conservation,,
,mangrove forest area,GA_2.2_37_70;GA_2.2_38_74;GA_2.2_70_120;VA_2_76_48;IPBES_GA2.2_sup_15;IPBES_GA3_sup_40,IPBES,0,ecosystems,State of ecosystems (coverage),NA,NA
,manufacturing employment as a proportion of total employment,SDG_G9.2.2_120;IPBES_SUA_sup_9.2.2_62,SDG;IPBES,1,Human assets,Coverage of basic needs,NA,NA
,manufacturing value added as a proportion of gross domestic product and per capita,SDG_G9.2.1_119;IPBES_SUA_sup_9.2.1_61,SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,NA
,marine air temperature,GEO_2_26_7,GEO,0,ecosystems,Abiotic conditions,NA,NA
,marine cloudiness over mc,IPCC_8_46_393,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,marine litter,GEO_7_19_66,GEO,0,Direct drivers,Pollution,NA,NA
,marine net primary production,GA_2.2_37_70;IPBES_GA2.2_sup_31,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,marine nutirent pollution,GEO_20_8_234,GEO,0,Direct drivers,Pollution,NA,NA
,marine sediment cores,IPCC_2_29_60;IPCC_2_89_153,IPCC,0,ecosystems,State of ecosystems,NA,NA
,marine sediments,IPCC_2_57_89;IPCC_2_61_98,IPCC,0,ecosystems,State of ecosystems,NA,NA
,marine sediments below the ice sheet,IPCC_2_61_99,IPCC,0,ecosystems,State of ecosystems,NA,NA
,marine species richness,GBF_GA_CY_44,GBF,1,biodiversity,State of biodiversity,NA,NA
,marine stewardship council certified catch,GBF_T5_CY_156;SUA_2_90_65,GBF;IPBES,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA
,marine stewardship council certified fisheries,GA_4_152_225;GA_3_15_329;IPBES_GA3_sup_21,IPBES,0,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA
,marine stewardship council engaged fisheries,GA_3_72_395,IPBES,0,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA
,marine stocks,GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,marine trophic index (mti),GA_1_52_19;GA_2.2_59_101;GA_3_15_329;GA_3_55_389;IPBES_GA2.2_sup_80;IPBES_GA3_sup_22,IPBES,0,ecosystems,State of ecosystems (marine),NA,NA
,material flow accounting,GEO_17_20_212,GEO,0,ecosystems,Abiotic conditions,NA,NA
,material flow analysis,GEO_17_20_212,GEO,0,ecosystems,Abiotic conditions,NA,NA
,material footprint per capita,GBF_T16_C_59,GBF,1,Human assets,State of economy,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems
,"material footprint, material footprint per capita, and material footprint per gross domestic product",SDG_G8.4.1_103;SDG_G12.2.1_161;IPBES_SUA_sup_8.4.1_47;IPBES_SUA_sup_12.2.1_89,SDG;IPBES,1,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA
,material ncp,GA_2.2_42_82,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,material wealth,SUA_4_149_140,IPBES,0,Human assets,Income,NA,NA
,maternal mortality ratio,SDG_G3.1.1_28,SDG,1,Human well-being,Healthy living conditions,Human assets,Coverage of basic needs
,maximum daytime heat index,IPCC_12_71_692,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,maximum fire weather index,IPCC_12_66_682,IPCC,0,Direct drivers,Natural drivers,NA,NA
,maximum five-day precipitation,IPCC_sup_22,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,maximum number of consecutive days with less than 1 mm of precipitation per day,IPCC_sup_27,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,maximum number of consecutive days with more than or equal to 1 mm of precipitation per day,IPCC_sup_28,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,maximum one-day precipitation,IPCC_sup_21,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,maximum temperatures,IPCC_12_49_649,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,mean air temperature,IPCC_11_39_524,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,mean annual change in above-ground biomass,GA_2.2_37_70,IPBES,0,ecosystems,Change in ecosystems,NA,NA
,mean annual precipitation,IAS_3_8_84,IPBES,0,ecosystems,Abiotic conditions,NA,NA
,mean annual temperature,IAS_3_8_84,IPBES,0,ecosystems,Abiotic conditions,NA,NA
,mean arctic sea ice area,IPCC_2_57_88,IPCC,0,ecosystems,State of ecosystems,NA,NA
,mean body length,IAS_4_22_102,IPBES,0,biodiversity,State of biodiversity,NA,NA
,mean body mass,SUA_2_97_80,IPBES,0,Knowledge systems,ILK,biodiversity,State of biodiversity
,mean gsat,IPCC_1_45_19,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,mean length of fish,GA_1_52_19;GA_2.2_70_120,IPBES,0,biodiversity,State of biodiversity,NA,NA
,mean polar sea ice extent,GA_3_51_381;IPBES_GA3_sup_38,IPBES,0,ecosystems,State of ecosystems,NA,NA
,mean species abundance (msa),GBF_GA_CY_38;GA_1_52_19;GA_2.2_37_70;GA_2.2_46_88;GA_5_34_243;IPBES_GA2.2_sup_42,GBF;IPBES,1,biodiversity,State of biodiversity,NA,NA
,mean species abundance (msa) (hotspots),IPBES_GA2.2_sup_43,IPBES,0,biodiversity,State of biodiversity,NA,NA
,mean species abundance (msa) (indigenous lands),IPBES_GA2.2_sup_44,IPBES,0,biodiversity,State of biodiversity,NA,NA
,measure of income,GEO_22_21_257,GEO,0,Human assets,Income,NA,NA
,measured concentrations of o in the upper stratospere,GEO_5_17_41,GEO,0,ecosystems,Abiotic conditions,NA,NA
,medicinal species as a fraction of total vascular plant species,GA_2.3_39_137,IPBES,0,biodiversity,State of biodiversity,Knowledge systems,ILK
,megafaunal range size,GA_2.2_37_70;IPBES_GA2.2_sup_67,IPBES,0,biodiversity,State of biodiversity,NA,NA
,merchandise exports,GA_2_24_29,IPBES,0,Human assets,Income,NA,NA
,mibid index,GA_6_122_285,IPBES,0,ecosystems,State of ecosystems (coverage),Ecosystem services,Nature contribution
,migration net,IPBES_GA2.1_sup_26,IPBES,0,Governance,Legislation/governance,Human well-being,Cultural diversity
,migratory birds threatened or near threatened on the red list index,GA_3_150_436,IPBES,0,biodiversity,State of biodiversity,biodiversity,Species conservation
,millenium development goals indicators,GEO_16_15_183,GEO,0,Governance,Legislation/governance,Human well-being,Healthy living conditions
,minimum temperature,IPCC_11_44_532,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,mobile cellular subscriptions,IPBES_GA2.1_sup_11,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA
,monetary benefits received in accordance with applicable internationally agreed access and benefit-sharing instruments,GBF_GC_H_7,GBF,1,Governance,National/international cooperation,NA,NA
,monthly drought code fire index,IPCC_12_66_682,IPCC,0,Direct drivers,Natural drivers,NA,NA
,monthly maximum value of daily maximum temperature,IPCC_sup_1,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,monthly maximum value of daily minimum temperature,IPCC_sup_4,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,monthly minimum value of daily maximum temperature,IPCC_sup_2,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,monthly minimum value of daily minimum temperature,IPCC_sup_3,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,montreal protocol,IPBES_GA2.1_sup_63,IPBES,0,Governance,National/international cooperation,NA,NA
,mortality from unintentional poisoning,GEO_20_7_232,GEO,0,Human well-being,Healthy living conditions,NA,NA
,mortality rate attributable to household and ambient air pollution,GEO_20_7_232,GEO,0,Direct drivers,Pollution,Human well-being,Healthy living conditions
,"mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",SDG_G3.4.1_37,SDG,1,Human well-being,Healthy living conditions,NA,NA
,mortality rate attributed to household and ambient air pollution,GBF_T11_CY_202;SDG_G3.9.1_46,GBF;SDG,1,Human well-being,Healthy living conditions,Direct drivers,Pollution
,mortality rate attributed to unintentional poisoning,SDG_G3.9.3_48,SDG,1,Human well-being,Healthy living conditions,Direct drivers,Pollution
,"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",GBF_T11_C_50;SDG_G3.9.2_47,GBF;SDG,1,Human well-being,Healthy living conditions,Direct drivers,Pollution
,mortality rate under 5,GA_2_24_29,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,mountain glaciers,GEO_4_13_34,GEO,0,ecosystems,State of ecosystems,NA,NA
,mountain green cover index,GBF_GA_CY_5;SDG_G15.4.2.a_199;IPBES_SUA_sup_15.4.2_126,GBF;SDG;IPBES,1,ecosystems,State of ecosystems (coverage),NA,NA
,multidimensional poverty index,GA_3_97_413;SUA_4_149_138,IPBES,0,Human assets,Income,NA,NA
,municipal solid waste collected and managed,GBF_T7_CY_172,GBF,1,Governance,Legislation/governance,NA,NA
,"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",GBF_T7_CY_179,GBF,1,Direct drivers,Pollution,NA,NA
